scheduleid,cycle,s_eng,d_eng,departure_time,arrival_time
38,1,KINHAVALI,SHAHAPUR,4:00:00,5:15:00
9,1,SHAHAPUR,SHAHAPUR,4:30:00,5:00:00
18,1,MASAVANE,SHAHAPUR,4:30:00,11:50:00
21,1,BHIVANDI,SHAHAPUR,4:30:00,10:35:00
23,1,BHIVANDI,SHAHAPUR,4:30:00,11:40:00
22,1,NASHIK,SHAHAPUR,4:45:00,11:00:00
55,1,THANE,SHAHAPUR,4:45:00,11:15:00
15,1,SHAHAPUR,SHAHAPUR,5:00:00,6:50:00
33,1,MADH,SHAHAPUR,5:00:00,10:25:00
36,1,SHAHAPUR,SHAHAPUR,5:00:00,11:30:00
51,1,SHAHAPUR,SHAHAPUR,5:00:00,5:45:00
9,2,SHAHAPUR,SHAHAPUR,5:10:00,10:20:00
11,1,SHAHAPUR,SHAHAPUR,5:10:00,6:40:00
16,1,NASHIK,SHAHAPUR,5:15:00,12:30:00
39,1,CHONDHA,SHAHAPUR,5:15:00,8:35:00
27,1,SHAHAPUR,AASANGAON,5:20:00,5:30:00
7,1,SHAHAPUR,SHAHAPUR,5:30:00,10:00:00
10,1,KHARANGAN,SHAHAPUR,5:30:00,7:05:00
29,1,KOLIPADA,SHAHAPUR,5:30:00,11:45:00
43,1,GUNDE,SHAHAPUR,5:30:00,9:20:00
50,1,SHAHAPUR,SHAHAPUR,5:30:00,8:05:00
52,1,SHAHAPUR,SHAHAPUR,5:30:00,9:30:00
53,1,SHAHAPUR,SHAHAPUR,5:30:00,11:45:00
54,1,BHIVANDI,SHAHAPUR,5:30:00,12:05:00
25,1,KOTHALA,SHAHAPUR,5:35:00,12:45:00
27,2,SHAHAPUR,SHAHAPUR,5:35:00,6:50:00
48,1,MENGALPADA,SHAHAPUR,5:35:00,11:50:00
42,1,SHAHAPUR,SHAHAPUR,5:40:00,7:45:00
1,1,SHAHAPUR,SHAHAPUR,5:45:00,9:15:00
8,1,KRUSHNACHI WADI,SHAHAPUR,5:45:00,10:15:00
28,1,SHELAVALI,SHAHAPUR,5:45:00,12:25:00
31,1,APATE,SHAHAPUR,5:45:00,7:15:00
44,1,SHAHAPUR,SHAHAPUR,5:45:00,8:15:00
6,1,ASNOLI,SHAHAPUR,5:50:00,11:55:00
46,1,BELAVALI,SHAHAPUR,5:50:00,8:55:00
17,1,SHAHAPUR,SHAHAPUR,5:55:00,6:50:00
51,2,SHAHAPUR,SHAHAPUR,5:55:00,6:40:00
12,1,ASTHA,SHAHAPUR,6:00:00,12:10:00
13,1,SHAHAPUR,SHAHAPUR,6:00:00,6:50:00
20,1,DEHANE,SHAHAPUR,6:00:00,12:05:00
30,1,TAKIPATHAR,SHAHAPUR,6:00:00,8:25:00
37,1,JUNAVANI,SHAHAPUR,6:00:00,12:40:00
47,1,GANESHPURI,SHAHAPUR,6:00:00,12:15:00
49,1,SHAHAPUR,SHAHAPUR,6:00:00,9:00:00
19,1,BALVANDI,SHAHAPUR,6:05:00,12:30:00
2,1,SHAHAPUR,SHAHAPUR,6:15:00,9:45:00
14,1,JARANDI,SHAHAPUR,6:15:00,8:00:00
32,1,TEMBHARA,SHAHAPUR,6:15:00,12:15:00
40,1,SHAHAPUR,SHAHAPUR,6:15:00,7:20:00
45,1,BABARE,SHAHAPUR,6:15:00,8:00:00
3,1,SHAHAPUR,SHAHAPUR,6:45:00,10:15:00
26,1,KANAVE,SHAHAPUR,6:45:00,8:55:00
35,1,KINHAVALI,SHAHAPUR,6:45:00,8:20:00
56,1,THANE,SHAHAPUR,6:45:00,13:15:00
51,3,SHAHAPUR,SHAHAPUR,6:50:00,7:35:00
17,2,SHAHAPUR,SHAHAPUR,6:55:00,8:30:00
27,3,SHAHAPUR,SHAHAPUR,6:55:00,7:50:00
4,1,SHAHAPUR,SHAHAPUR,7:15:00,10:45:00
10,2,SHAHAPUR,SHAHAPUR,7:15:00,9:00:00
34,1,CHONDHA,SHAHAPUR,7:15:00,9:35:00
41,1,KINHAVALI,SHAHAPUR,7:15:00,11:10:00
40,2,SHAHAPUR,SHAHAPUR,7:25:00,8:20:00
13,2,SHAHAPUR,SHAHAPUR,7:30:00,9:55:00
15,2,SHAHAPUR,SHAHAPUR,7:30:00,11:00:00
24,1,NASHIK,SHAHAPUR,7:30:00,13:45:00
31,2,SHAHAPUR,SHAHAPUR,7:45:00,8:40:00
51,4,SHAHAPUR,SHAHAPUR,7:45:00,8:30:00
57,1,THANE,SHAHAPUR,7:45:00,14:15:00
42,2,SHAHAPUR,SHAHAPUR,7:50:00,9:55:00
27,4,SHAHAPUR,SHAHAPUR,7:55:00,9:00:00
11,2,SHAHAPUR,SHAHAPUR,8:00:00,12:40:00
50,2,SHAHAPUR,SHAHAPUR,8:10:00,9:15:00
40,3,SHAHAPUR,SHAHAPUR,8:25:00,9:30:00
14,2,SHAHAPUR,SHAHAPUR,8:30:00,11:40:00
38,2,SHAHAPUR,SHAHAPUR,8:30:00,17:30:00
44,2,SHAHAPUR,SHAHAPUR,8:30:00,11:10:00
45,2,SHAHAPUR,SHAHAPUR,8:30:00,10:35:00
51,5,SHAHAPUR,SHAHAPUR,8:40:00,9:25:00
31,3,SHAHAPUR,SHAHAPUR,8:45:00,11:45:00
35,2,SHAHAPUR,SHAHAPUR,8:50:00,12:30:00
30,2,SHAHAPUR,SHAHAPUR,9:00:00,12:45:00
27,5,SHAHAPUR,SHAHAPUR,9:05:00,10:00:00
39,2,SHAHAPUR,SHAHAPUR,9:05:00,11:30:00
49,2,SHAHAPUR,SHAHAPUR,9:05:00,14:10:00
46,2,SHAHAPUR,SHAHAPUR,9:25:00,11:10:00
26,2,SHAHAPUR,SHAHAPUR,9:30:00,11:10:00
40,4,SHAHAPUR,SHAHAPUR,9:35:00,10:30:00
34,2,SHAHAPUR,SHAHAPUR,9:40:00,13:45:00
1,2,SHAHAPUR,SHAHAPUR,9:45:00,13:15:00
50,3,SHAHAPUR,SHAHAPUR,9:45:00,14:15:00
43,2,SHAHAPUR,SHAHAPUR,9:50:00,11:55:00
51,6,SHAHAPUR,SHAHAPUR,9:55:00,10:40:00
5,1,SHAHAPUR,SHAHAPUR,10:00:00,19:00:00
10,3,SHAHAPUR,SHAHAPUR,10:00:00,12:45:00
2,2,SHAHAPUR,SHAHAPUR,10:15:00,13:45:00
7,2,SHAHAPUR,SHAHAPUR,10:15:00,11:00:00
8,2,SHAHAPUR,SHAHAPUR,10:20:00,11:25:00
42,3,SHAHAPUR,SHAHAPUR,10:25:00,12:30:00
9,3,SHAHAPUR,SHAHAPUR,10:30:00,11:30:00
27,6,SHAHAPUR,SHAHAPUR,10:30:00,11:25:00
52,2,SHAHAPUR,SHAHAPUR,10:30:00,13:45:00
40,5,SHAHAPUR,SHAHAPUR,10:35:00,11:40:00
45,3,SHAHAPUR,SHAHAPUR,10:40:00,12:45:00
3,2,SHAHAPUR,SHAHAPUR,10:45:00,14:15:00
13,3,SHAHAPUR,SHAHAPUR,10:45:00,13:30:00
51,7,SHAHAPUR,SHAHAPUR,10:50:00,11:35:00
21,2,SHAHAPUR,NASHIK,11:05:00,18:00:00
15,3,SHAHAPUR,SHAHAPUR,11:10:00,12:00:00
4,2,SHAHAPUR,SHAHAPUR,11:15:00,14:45:00
26,3,SHAHAPUR,SHAHAPUR,11:15:00,13:20:00
41,2,SHAHAPUR,SHAHAPUR,11:15:00,13:50:00
44,3,SHAHAPUR,SHAHAPUR,11:15:00,13:30:00
7,3,SHAHAPUR,SHAHAPUR,11:20:00,13:00:00
8,3,SHAHAPUR,SHAHAPUR,11:30:00,12:35:00
27,7,SHAHAPUR,SHAHAPUR,11:30:00,12:25:00
40,6,SHAHAPUR,SHAHAPUR,11:30:00,13:05:00
51,8,SHAHAPUR,SHAHAPUR,11:45:00,12:30:00
14,3,SHAHAPUR,SHAHAPUR,11:50:00,13:35:00
31,4,SHAHAPUR,SHAHAPUR,11:50:00,12:15:00
6,2,SHAHAPUR,SHAHAPUR,12:00:00,12:45:00
23,2,SHAHAPUR,NASHIK,12:10:00,19:00:00
33,2,SHAHAPUR,MADH,12:10:00,20:15:00
17,3,SHAHAPUR,SHAHAPUR,12:20:00,13:30:00
48,2,SHAHAPUR,SHAHAPUR,12:20:00,13:55:00
9,4,SHAHAPUR,SHAHAPUR,12:30:00,15:20:00
12,2,SHAHAPUR,SHAHAPUR,12:30:00,13:30:00
36,2,SHAHAPUR,SHAHAPUR,12:30:00,13:25:00
15,4,SHAHAPUR,NASHIK,12:45:00,20:30:00
22,2,SHAHAPUR,BHIVANDI,12:45:00,19:20:00
31,5,SHAHAPUR,SHAHAPUR,12:45:00,14:25:00
37,2,SHAHAPUR,SHAHAPUR,12:45:00,13:10:00
27,8,SHAHAPUR,SHAHAPUR,12:55:00,17:40:00
16,2,SHAHAPUR,SHAHAPUR,13:00:00,20:20:00
20,2,SHAHAPUR,SHAHAPUR,13:00:00,14:45:00
42,4,SHAHAPUR,SHAHAPUR,13:00:00,16:05:00
46,3,SHAHAPUR,SHAHAPUR,13:00:00,14:30:00
55,2,SHAHAPUR,THANE,13:00:00,19:30:00
40,7,SHAHAPUR,SHAHAPUR,13:10:00,14:05:00
6,3,SHAHAPUR,SHAHAPUR,13:15:00,15:50:00
18,2,SHAHAPUR,THANE,13:15:00,18:50:00
30,3,SHAHAPUR,SHAHAPUR,13:15:00,16:20:00
39,3,SHAHAPUR,SHAHAPUR,13:30:00,16:15:00
7,4,SHAHAPUR,SHAHAPUR,13:35:00,15:25:00
29,2,SHAHAPUR,KOLIPADA,13:35:00,20:15:00
11,3,SHAHAPUR,SHAHAPUR,13:40:00,15:25:00
1,3,SHAHAPUR,SHAHAPUR,13:45:00,17:15:00
36,3,SHAHAPUR,SHAHAPUR,13:45:00,15:35:00
54,2,SHAHAPUR,BHIVANDI,13:45:00,20:20:00
8,4,SHAHAPUR,SHAHAPUR,14:00:00,21:35:00
28,2,SHAHAPUR,SHAHAPUR,14:00:00,15:05:00
32,2,SHAHAPUR,SHAHAPUR,14:00:00,16:10:00
43,3,SHAHAPUR,SHAHAPUR,14:00:00,16:10:00
44,4,SHAHAPUR,SHAHAPUR,14:00:00,16:05:00
47,2,SHAHAPUR,SHAHAPUR,14:00:00,16:05:00
51,9,SHAHAPUR,SHAHAPUR,14:00:00,14:45:00
53,2,SHAHAPUR,SHAHAPUR,14:00:00,18:55:00
2,3,SHAHAPUR,SHAHAPUR,14:15:00,17:45:00
14,4,SHAHAPUR,SHAHAPUR,14:15:00,21:40:00
19,2,SHAHAPUR,BALVANDI,14:15:00,21:05:00
24,2,SHAHAPUR,SHAHAPUR,14:15:00,21:25:00
25,2,SHAHAPUR,KOTHALA,14:15:00,20:20:00
26,4,SHAHAPUR,SHAHAPUR,14:15:00,16:40:00
35,3,SHAHAPUR,SHAHAPUR,14:15:00,16:05:00
41,3,SHAHAPUR,SHAHAPUR,14:20:00,15:15:00
13,4,SHAHAPUR,SHAHAPUR,14:35:00,17:10:00
40,8,SHAHAPUR,SHAHAPUR,14:35:00,15:30:00
50,4,SHAHAPUR,SHAHAPUR,14:35:00,18:25:00
45,4,SHAHAPUR,SHAHAPUR,14:40:00,22:20:00
3,3,SHAHAPUR,SHAHAPUR,14:45:00,18:15:00
52,3,SHAHAPUR,SHAHAPUR,14:45:00,18:45:00
20,3,SHAHAPUR,SHAHAPUR,14:50:00,16:45:00
37,3,SHAHAPUR,SHAHAPUR,15:00:00,22:20:00
46,4,SHAHAPUR,BELAVALI,15:00:00,19:45:00
51,10,SHAHAPUR,SHAHAPUR,15:00:00,15:55:00
56,2,SHAHAPUR,THANE,15:00:00,21:30:00
28,3,SHAHAPUR,SHAHAPUR,15:10:00,16:10:00
4,3,SHAHAPUR,SHAHAPUR,15:15:00,18:45:00
10,4,SHAHAPUR,SHAHAPUR,15:15:00,22:55:00
7,5,SHAHAPUR,SHAHAPUR,15:30:00,17:40:00
12,3,SHAHAPUR,SHAHAPUR,15:30:00,23:00:00
34,3,SHAHAPUR,SHAHAPUR,15:30:00,18:50:00
49,3,SHAHAPUR,SHAHAPUR,15:30:00,18:25:00
40,9,SHAHAPUR,SHAHAPUR,15:35:00,16:40:00
17,4,SHAHAPUR,MASAVANE,15:40:00,19:10:00
48,3,SHAHAPUR,MENGALPADA,15:40:00,20:10:00
11,4,SHAHAPUR,SHAHAPUR,16:00:00,17:25:00
57,2,SHAHAPUR,BORIVALI,16:00:00,21:15:00
31,6,SHAHAPUR,APATE,16:10:00,20:40:00
44,5,SHAHAPUR,SHAHAPUR,16:10:00,18:15:00
47,3,SHAHAPUR,SHAHAPUR,16:10:00,18:15:00
51,11,SHAHAPUR,SHAHAPUR,16:10:00,16:55:00
28,4,SHAHAPUR,SHAHAPUR,16:15:00,17:20:00
36,4,SHAHAPUR,JUNAVANI,16:15:00,20:30:00
42,5,SHAHAPUR,GUNDE,16:15:00,20:30:00
9,5,SHAHAPUR,KHARANGAN,16:20:00,20:05:00
32,3,SHAHAPUR,TEMBHARA,16:20:00,20:45:00
35,4,SHAHAPUR,SHAHAPUR,16:25:00,17:20:00
39,4,SHAHAPUR,SHAHAPUR,16:30:00,17:25:00
43,4,SHAHAPUR,SHAHAPUR,16:40:00,18:50:00
40,10,SHAHAPUR,SHAHAPUR,16:45:00,17:50:00
41,4,SHAHAPUR,KINHAVALI,17:00:00,22:20:00
51,12,SHAHAPUR,SHAHAPUR,17:05:00,17:50:00
13,5,SHAHAPUR,SHAHAPUR,17:15:00,18:10:00
35,5,SHAHAPUR,KINHAVALI,17:30:00,21:25:00
6,4,SHAHAPUR,SHAHAPUR,17:35:00,19:20:00
11,5,SHAHAPUR,ASTHA,17:40:00,19:45:00
1,4,SHAHAPUR,SHAHAPUR,17:45:00,21:15:00
28,5,SHAHAPUR,SHAHAPUR,17:50:00,18:55:00
39,5,SHAHAPUR,SHAHAPUR,18:00:00,19:05:00
51,13,SHAHAPUR,SHAHAPUR,18:00:00,18:45:00
30,4,SHAHAPUR,SHAHAPUR,18:05:00,19:50:00
7,6,SHAHAPUR,SHAHAPUR,18:10:00,19:40:00
2,4,SHAHAPUR,SHAHAPUR,18:15:00,21:45:00
38,3,SHAHAPUR,SHAHAPUR,18:15:00,20:05:00
13,6,SHAHAPUR,JARANDI,18:20:00,20:45:00
40,11,SHAHAPUR,SHAHAPUR,18:20:00,19:15:00
44,6,SHAHAPUR,BABARE,18:20:00,21:25:00
20,4,SHAHAPUR,DEHANE,18:30:00,21:00:00
49,4,SHAHAPUR,SHAHAPUR,18:35:00,22:25:00
27,9,SHAHAPUR,SHELAVALI,18:40:00,20:00:00
3,4,SHAHAPUR,SHAHAPUR,18:45:00,22:15:00
47,4,SHAHAPUR,GANESHPURI,18:45:00,20:15:00
51,14,SHAHAPUR,SHAHAPUR,18:55:00,19:40:00
52,4,SHAHAPUR,SHAHAPUR,18:55:00,22:50:00
28,6,SHAHAPUR,SHAHAPUR,19:00:00,19:55:00
43,5,SHAHAPUR,SHAHAPUR,19:00:00,21:10:00
50,5,SHAHAPUR,SHAHAPUR,19:00:00,21:10:00
53,3,SHAHAPUR,SHAHAPUR,19:00:00,20:40:00
4,4,SHAHAPUR,SHAHAPUR,19:15:00,22:45:00
39,6,SHAHAPUR,CHONDHA,19:15:00,20:30:00
34,4,SHAHAPUR,CHONDHA,19:20:00,21:45:00
40,12,SHAHAPUR,SHAHAPUR,19:20:00,20:25:00
6,5,SHAHAPUR,ASNOLI,19:25:00,20:45:00
5,2,SHAHAPUR,THANE,19:30:00,23:15:00
26,5,SHAHAPUR,KANAVE,20:00:00,21:25:00
28,7,SHAHAPUR,SHAHAPUR,20:00:00,21:05:00
30,5,SHAHAPUR,TAKIPATHAR,20:00:00,21:00:00
51,15,SHAHAPUR,SHAHAPUR,20:10:00,21:05:00
7,7,SHAHAPUR,KRUSHNACHI WADI,20:15:00,21:05:00
38,4,SHAHAPUR,SHAHAPUR,20:30:00,21:55:00
40,13,SHAHAPUR,SHAHAPUR,20:30:00,22:20:00
38,5,SHAHAPUR,KINHAVALI,22:25:00,23:45:00
10,5,SHAHAPUR,AASANGAON,23:35:00,23:45:00
